Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-14,14:35:00,71.07,71.16,70.75,71.01,26350,0
2018-03-14,14:40:00,70.97,71,70.72,70.9168,11834,0
2018-03-14,14:45:00,70.95,70.98,70.8,70.82,7978,0
2018-03-14,14:50:00,70.78,70.92,70.78,70.85,8810,0
2018-03-14,14:55:00,70.84,70.93,70.84,70.91,3580,0
2018-03-14,15:00:00,70.89,70.91,70.72,70.74,5100,0
2018-03-14,15:05:00,70.76,70.91,70.76,70.8725,4578,0
2018-03-14,15:10:00,70.85,70.95,70.83,70.95,5129,0
2018-03-14,15:15:00,70.93,70.93,70.68,70.68,6386,0
2018-03-14,15:20:00,70.72,70.77,70.66,70.69,6500,0
2018-03-14,15:25:00,70.685,70.81,70.685,70.79,2200,0
2018-03-14,15:30:00,70.82,70.86,70.82,70.86,1600,0
2018-03-14,15:35:00,70.84,70.9041,70.79,70.9,4632,0
2018-03-14,15:40:00,70.86,70.86,70.74,70.75,5419,0
2018-03-14,15:45:00,70.7614,70.89,70.7614,70.89,5493,0
2018-03-14,15:50:00,70.86,70.89,70.81,70.88,13019,0
2018-03-14,15:55:00,70.87,70.94,70.87,70.87,4100,0
2018-03-14,16:00:00,70.8648,70.93,70.83,70.84,4874,0
2018-03-14,16:05:00,70.85,70.89,70.73,70.86,25818,0
2018-03-14,16:10:00,70.86,70.99,70.755,70.99,61223,0
2018-03-14,16:15:00,70.98,71.02,70.855,70.9,31401,0
2018-03-14,16:20:00,70.905,70.99,70.81,70.83,20204,0
2018-03-14,16:25:00,70.81,70.81,70.72,70.77,5975,0
2018-03-14,16:30:00,70.77,70.8606,70.75,70.84,7000,0
2018-03-14,16:35:00,70.85,70.88,70.79,70.79,4401,0
2018-03-14,16:40:00,70.78,70.78,70.57,70.63,10144,0
2018-03-14,16:45:00,70.62,70.67,70.57,70.65,5394,0
2018-03-14,16:50:00,70.66,70.69,70.5,70.565,3100,0
2018-03-14,16:55:00,70.57,70.67,70.57,70.58,5259,0
2018-03-14,17:00:00,70.6,70.64,70.5,70.5,3900,0
2018-03-14,17:05:00,70.54,70.57,70.44,70.44,10536,0
2018-03-14,17:10:00,70.45,70.45,70.37,70.3856,6900,0
2018-03-14,17:15:00,70.37,70.44,70.37,70.42,7136,0
2018-03-14,17:20:00,70.43,70.51,70.42,70.48,7791,0
2018-03-14,17:25:00,70.47,70.48,70.375,70.46,6850,0
2018-03-14,17:30:00,70.45,70.47,70.38,70.42,7374,0
2018-03-14,17:35:00,70.41,70.435,70.38,70.39,5400,0
2018-03-14,17:40:00,70.38,70.51,70.36,70.46,20927,0
2018-03-14,17:45:00,70.45,70.46,70.41,70.41,3600,0
2018-03-14,17:50:00,70.41,70.45,70.33,70.34,12355,0
2018-03-14,17:55:00,70.3205,70.33,70.27,70.28,14605,0
2018-03-14,18:00:00,70.27,70.29,70.2,70.23,9855,0
2018-03-14,18:05:00,70.2,70.21,70.1,70.12,9400,0
2018-03-14,18:10:00,70.12,70.14,70.07,70.09,2950,0
2018-03-14,18:15:00,70.09,70.1,69.98,70,8100,0
2018-03-14,18:20:00,70.01,70.0901,69.9865,70.09,4878,0
2018-03-14,18:25:00,70.1,70.12,70.08,70.12,3549,0
2018-03-14,18:30:00,70.11,70.13,70.04,70.04,5491,0
2018-03-14,18:35:00,70.06,70.23,70.06,70.23,29060,0
2018-03-14,18:40:00,70.23,70.23,70.19,70.22,5600,0
2018-03-14,18:45:00,70.23,70.275,70.23,70.275,13485,0
2018-03-14,18:50:00,70.3,70.3675,70.28,70.36,22320,0
2018-03-14,18:55:00,70.36,70.42,70.355,70.37,12497,0
2018-03-14,19:00:00,70.36,70.36,70.21,70.22,11440,0
2018-03-14,19:05:00,70.23,70.25,70.09,70.1,13166,0
2018-03-14,19:10:00,70.11,70.16,70.07,70.14,9936,0
2018-03-14,19:15:00,70.14,70.14,70.045,70.08,9554,0
2018-03-14,19:20:00,70.08,70.085,70.05,70.05,4800,0
2018-03-14,19:25:00,70.03,70.09,70.01,70.07,8075,0
2018-03-14,19:30:00,70.07,70.08,70.04,70.08,3100,0
2018-03-14,19:35:00,70.08,70.11,70.07,70.1,6700,0
2018-03-14,19:40:00,70.12,70.12,69.88,69.95,10450,0
2018-03-14,19:45:00,69.94,69.97,69.79,69.79,15197,0
2018-03-14,19:50:00,69.76,69.85,69.6907,69.81,67981,0
2018-03-14,19:55:00,69.82,70.03,69.8,70,28638,0
2018-03-14,20:00:00,70,70.07,69.98,70.03,23942,0
2018-03-14,20:05:00,70.05,70.05,69.98,70.03,8343,0
2018-03-14,20:10:00,70.01,70.07,69.97,69.985,16483,0
2018-03-14,20:15:00,69.99,69.99,69.89,69.95,14507,0
2018-03-14,20:20:00,69.98,70.0954,69.91,69.945,34509,0
2018-03-14,20:25:00,69.94,69.94,69.81,69.865,39361,0
2018-03-14,20:30:00,69.86,69.88,69.81,69.82,16193,0
2018-03-14,20:35:00,69.83,69.89,69.8,69.8,22063,0
2018-03-14,20:40:00,69.82,69.91,69.82,69.87,44002,0
2018-03-14,20:45:00,69.86,69.875,69.79,69.85,25923,0
2018-03-14,20:50:00,69.86,69.9,69.83,69.85,38078,0
2018-03-14,20:55:00,69.85,69.92,69.77,69.9,35159,0
2018-03-14,21:00:00,69.9,69.95,69.86,69.92,368962,0
2018-03-15,14:35:00,70.09,70.26,70.01,70.15,33940,0
2018-03-15,14:40:00,70.22,70.27,70.09,70.215,6548,0
