Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-14,14:35:00,49.09,49.43,48.88,48.93,60387,0
2018-03-14,14:40:00,48.96,48.9848,48.53,48.53,43729,0
2018-03-14,14:45:00,48.56,48.75,48.48,48.56,30932,0
2018-03-14,14:50:00,48.55,48.59,48.27,48.27,35663,0
2018-03-14,14:55:00,48.29,48.426,48.26,48.31,18497,0
2018-03-14,15:00:00,48.26,48.28,48.1,48.2,42794,0
2018-03-14,15:05:00,48.21,48.48,48.21,48.46,31482,0
2018-03-14,15:10:00,48.45,48.5101,48.21,48.27,24042,0
2018-03-14,15:15:00,48.24,48.38,48.21,48.27,15135,0
2018-03-14,15:20:00,48.29,48.3,48.1201,48.15,21209,0
2018-03-14,15:25:00,48.1686,48.18,47.96,47.96,51911,0
2018-03-14,15:30:00,47.95,48.04,47.93,48.03,48205,0
2018-03-14,15:35:00,48.02,48.24,47.97,48.2,21501,0
2018-03-14,15:40:00,48.19,48.19,48.011,48.05,23197,0
2018-03-14,15:45:00,48.06,48.06,47.88,47.91,34264,0
2018-03-14,15:50:00,47.91,47.93,47.8,47.91,36610,0
2018-03-14,15:55:00,47.9,47.91,47.5954,47.6498,71864,0
2018-03-14,16:00:00,47.65,47.86,47.65,47.82,49642,0
2018-03-14,16:05:00,47.85,47.86,47.58,47.58,51252,0
2018-03-14,16:10:00,47.585,47.665,47.4,47.4,119073,0
2018-03-14,16:15:00,47.43,47.64,47.34,47.34,41423,0
2018-03-14,16:20:00,47.32,47.43,47.22,47.22,85887,0
2018-03-14,16:25:00,47.21,47.26,46.965,47.1,85833,0
2018-03-14,16:30:00,47.09,47.16,46.92,46.92,46631,0
2018-03-14,16:35:00,46.95,47.09,46.79,46.79,80944,0
2018-03-14,16:40:00,46.82,46.88,46.21,46.6368,86165,0
2018-03-14,16:45:00,46.62,46.8,46.53,46.78,25936,0
2018-03-14,16:50:00,46.83,46.84,46.71,46.76,45711,0
2018-03-14,16:55:00,46.76,46.96,46.76,46.92,20170,0
2018-03-14,17:00:00,46.92,46.95,46.76,46.845,22765,0
2018-03-14,17:05:00,46.86,46.93,46.76,46.9,17533,0
2018-03-14,17:10:00,46.9,46.95,46.83,46.87,41471,0
2018-03-14,17:15:00,46.9,46.92,46.81,46.92,40375,0
2018-03-14,17:20:00,46.93,47.0298,46.89,46.93,24632,0
2018-03-14,17:25:00,46.908,47.03,46.89,46.95,23682,0
2018-03-14,17:30:00,46.95,47.06,46.93,46.99,15307,0
2018-03-14,17:35:00,46.97,46.9834,46.83,46.92,21173,0
2018-03-14,17:40:00,46.92,47.03,46.88,46.88,19508,0
2018-03-14,17:45:00,46.86,46.9,46.75,46.76,28119,0
2018-03-14,17:50:00,46.74,46.93,46.74,46.84,17389,0
2018-03-14,17:55:00,46.83,46.8618,46.71,46.79,15112,0
2018-03-14,18:00:00,46.7971,46.81,46.71,46.75,8386,0
2018-03-14,18:05:00,46.76,46.81,46.64,46.64,33659,0
2018-03-14,18:10:00,46.65,46.68,46.58,46.6,13923,0
2018-03-14,18:15:00,46.58,46.69,46.55,46.61,12025,0
2018-03-14,18:20:00,46.62,46.67,46.62,46.65,9272,0
2018-03-14,18:25:00,46.65,46.74,46.65,46.69,11215,0
2018-03-14,18:30:00,46.68,46.72,46.65,46.67,20426,0
2018-03-14,18:35:00,46.66,46.8,46.65,46.72,14247,0
2018-03-14,18:40:00,46.73,46.775,46.7,46.74,12669,0
2018-03-14,18:45:00,46.77,46.94,46.75,46.915,21787,0
2018-03-14,18:50:00,46.9,46.95,46.89,46.9214,13582,0
2018-03-14,18:55:00,46.94,47.08,46.94,46.99,16127,0
2018-03-14,19:00:00,46.98,46.98,46.89,46.89,12730,0
2018-03-14,19:05:00,46.88,46.88,46.82,46.84,29521,0
2018-03-14,19:10:00,46.8437,46.97,46.84,46.97,13566,0
2018-03-14,19:15:00,46.96,46.98,46.92,46.9602,31229,0
2018-03-14,19:20:00,46.97,47,46.86,46.875,22975,0
2018-03-14,19:25:00,46.87,46.9424,46.87,46.9212,18778,0
2018-03-14,19:30:00,46.93,46.94,46.8501,46.885,13865,0
2018-03-14,19:35:00,46.88,46.92,46.86,46.895,32921,0
2018-03-14,19:40:00,46.89,46.895,46.61,46.63,55477,0
2018-03-14,19:45:00,46.62,46.71,46.59,46.63,23184,0
2018-03-14,19:50:00,46.626,46.63,46.55,46.62,24464,0
2018-03-14,19:55:00,46.62,46.71,46.62,46.65,47287,0
2018-03-14,20:00:00,46.65,46.72,46.52,46.58,58244,0
2018-03-14,20:05:00,46.575,46.625,46.52,46.5352,41205,0
2018-03-14,20:10:00,46.53,46.64,46.46,46.47,112271,0
2018-03-14,20:15:00,46.46,46.515,46.37,46.43,82435,0
2018-03-14,20:20:00,46.44,46.66,46.4,46.53,74550,0
2018-03-14,20:25:00,46.53,46.61,46.47,46.61,32241,0
2018-03-14,20:30:00,46.61,46.61,46.41,46.45,52643,0
2018-03-14,20:35:00,46.4501,46.62,46.4501,46.48,45652,0
2018-03-14,20:40:00,46.48,46.57,46.44,46.5,38890,0
2018-03-14,20:45:00,46.49,46.54,46.45,46.52,48167,0
2018-03-14,20:50:00,46.53,46.57,46.45,46.455,73217,0
2018-03-14,20:55:00,46.459,46.49,46.38,46.47,119100,0
2018-03-14,21:00:00,46.47,46.58,46.45,46.57,386000,0
2018-03-15,14:35:00,46.45,46.77,46.45,46.67,55159,0
2018-03-15,14:40:00,46.7,46.75,46.475,46.475,17527,0
2018-03-15,14:45:00,46.5,46.68,46.48,46.56,29942,0
2018-03-15,14:50:00,46.52,46.55,46.188,46.188,45822,0
2018-03-15,14:55:00,46.17,46.2748,46.1,46.11,55606,0
2018-03-15,15:00:00,46.12,46.14,46.02,46.05,77852,0
2018-03-15,15:05:00,46.0651,46.13,45.94,46.115,102578,0
2018-03-15,15:10:00,46.14,46.31,46.14,46.2505,21670,0
2018-03-15,15:15:00,46.28,46.29,46.01,46.015,66176,0
2018-03-15,15:20:00,46.015,46.03,45.9,45.94,43784,0
2018-03-15,15:25:00,45.94,45.98,45.71,45.92,58940,0
2018-03-15,15:30:00,45.91,46.13,45.84,46.1,62390,0
2018-03-15,15:35:00,46.13,46.2,45.96,45.99,42868,0
2018-03-15,15:40:00,45.9912,46.11,45.97,46.05,36079,0
2018-03-15,15:45:00,46.057,46.11,45.86,45.8976,50703,0
2018-03-15,15:50:00,45.88,46.0299,45.88,45.98,11469,0
2018-03-15,15:55:00,45.97,46.16,45.88,46.1,58494,0
2018-03-15,16:00:00,46.1098,46.32,46.1001,46.32,45257,0
2018-03-15,16:05:00,46.31,46.42,46.28,46.3399,42797,0
2018-03-15,16:10:00,46.32,46.42,46.31,46.41,17760,0
2018-03-15,16:15:00,46.41,46.62,46.39,46.6,55023,0
2018-03-15,16:20:00,46.6,46.76,46.57,46.71,93765,0
2018-03-15,16:25:00,46.7101,46.7101,46.55,46.66,31219,0
2018-03-15,16:30:00,46.63,46.9,46.63,46.86,79292,0
2018-03-15,16:35:00,46.86,46.86,46.61,46.61,43899,0
2018-03-15,16:40:00,46.62,46.64,46.45,46.4638,15503,0
2018-03-15,16:45:00,46.46,46.55,46.44,46.48,9835,0
2018-03-15,16:50:00,46.51,46.59,46.47,46.51,23531,0
2018-03-15,16:55:00,46.52,46.63,46.52,46.55,11067,0
2018-03-15,17:00:00,46.55,46.64,46.47,46.6,8817,0
2018-03-15,17:05:00,46.58,46.58,46.49,46.5464,10876,0
2018-03-15,17:10:00,46.53,46.6699,46.53,46.54,8220,0
2018-03-15,17:15:00,46.54,46.6466,46.49,46.64,26005,0
2018-03-15,17:20:00,46.6358,46.69,46.59,46.675,33369,0
2018-03-15,17:25:00,46.6822,46.79,46.67,46.736,23731,0
2018-03-15,17:30:00,46.76,47.03,46.76,47.02,53946,0
2018-03-15,17:35:00,47.04,47.13,46.95,46.96,41159,0
2018-03-15,17:40:00,46.95,46.95,46.74,46.78,7779,0
2018-03-15,17:45:00,46.78,46.91,46.78,46.9,23138,0
2018-03-15,17:50:00,46.91,46.91,46.789,46.86,22775,0
2018-03-15,17:55:00,46.86,46.95,46.84,46.89,20018,0
2018-03-15,18:00:00,46.88,46.88,46.76,46.79,13332,0
2018-03-15,18:05:00,46.8,46.93,46.8,46.93,12385,0
2018-03-15,18:10:00,46.949,46.95,46.84,46.87,8730,0
2018-03-15,18:15:00,46.92,46.93,46.83,46.83,6400,0
2018-03-15,18:20:00,46.83,46.865,46.79,46.865,17749,0
2018-03-15,18:25:00,46.86,46.87,46.8,46.85,7226,0
2018-03-15,18:30:00,46.8599,46.88,46.84,46.87,7702,0
2018-03-15,18:35:00,46.87,46.89,46.75,46.75,7681,0
2018-03-15,18:40:00,46.76,46.8,46.72,46.765,7124,0
2018-03-15,18:45:00,46.76,46.86,46.73,46.8502,13824,0
2018-03-15,18:50:00,46.85,47.0051,46.84,47,28187,0
2018-03-15,18:55:00,46.9865,47.05,46.98,46.99,10944,0
2018-03-15,19:00:00,47,47.04,46.89,46.89,26314,0
2018-03-15,19:05:00,46.87,46.87,46.755,46.77,32559,0
2018-03-15,19:10:00,46.78,46.95,46.76,46.87,75231,0
2018-03-15,19:15:00,46.87,46.94,46.85,46.94,10803,0
2018-03-15,19:20:00,46.95,46.97,46.87,46.8938,12882,0
2018-03-15,19:25:00,46.88,46.94,46.83,46.88,11149,0
2018-03-15,19:30:00,46.88,46.9,46.79,46.8,17400,0
2018-03-15,19:35:00,46.8,46.8264,46.72,46.77,14767,0
2018-03-15,19:40:00,46.77,46.78,46.69,46.69,16781,0
2018-03-15,19:45:00,46.7,46.77,46.68,46.77,16748,0
2018-03-15,19:50:00,46.77,46.82,46.76,46.8,12087,0
2018-03-15,19:55:00,46.8,46.88,46.79,46.875,16370,0
2018-03-15,20:00:00,46.875,46.93,46.81,46.89,26677,0
2018-03-15,20:05:00,46.92,47.04,46.82,47.03,45498,0
2018-03-15,20:10:00,47.02,47.02,46.89,46.94,20021,0
2018-03-15,20:15:00,46.93,47,46.915,46.97,11307,0
2018-03-15,20:20:00,46.97,46.99,46.93,46.95,22537,0
2018-03-15,20:25:00,46.9699,47.025,46.87,46.9,38150,0
2018-03-15,20:30:00,46.89,46.89,46.79,46.89,27047,0
2018-03-15,20:35:00,46.9,46.98,46.84,46.9,33458,0
2018-03-15,20:40:00,46.89,46.905,46.78,46.78,29672,0
2018-03-15,20:45:00,46.785,46.9,46.78,46.9,43053,0
2018-03-15,20:50:00,46.91,46.985,46.9,46.96,54152,0
2018-03-15,20:55:00,46.95,46.98,46.9,46.935,80321,0
2018-03-15,21:00:00,46.94,46.95,46.9,46.93,281203,0
2018-03-16,14:35:00,46.8,47.39,46.76,47.19,94394,0
2018-03-16,14:40:00,47.33,47.34,46.82,47.06,43828,0
2018-03-16,14:45:00,47.06,47.15,46.85,47.15,24001,0
2018-03-16,14:50:00,47.1197,47.1295,46.84,46.87,8651,0
2018-03-16,14:55:00,46.95,47.02,46.81,46.86,14373,0
2018-03-16,15:00:00,46.86,46.92,46.8,46.8648,12149,0
2018-03-16,15:05:00,46.87,47.08,46.84,47,16610,0
2018-03-16,15:10:00,46.97,46.97,46.8001,46.83,21426,0
2018-03-16,15:15:00,46.83,46.94,46.74,46.92,15537,0
2018-03-16,15:20:00,46.84,46.9,46.8,46.85,11149,0
2018-03-16,15:25:00,46.85,46.95,46.845,46.88,56455,0
2018-03-16,15:30:00,46.865,46.92,46.83,46.885,25496,0
2018-03-16,15:35:00,46.89,47.04,46.87,47.025,115975,0
2018-03-16,15:40:00,47.01,47.12,47.01,47.07,23799,0
2018-03-16,15:45:00,47.04,47.08,46.95,47.05,11530,0
2018-03-16,15:50:00,47.04,47.19,47.02,47.11,23423,0
2018-03-16,15:55:00,47.12,47.31,47.12,47.3,36679,0
2018-03-16,16:00:00,47.31,47.47,47.18,47.47,47146,0
2018-03-16,16:05:00,47.48,47.5655,47.42,47.54,26761,0
2018-03-16,16:10:00,47.54,47.54,47.44,47.51,10999,0
2018-03-16,16:15:00,47.5,47.52,47.38,47.45,23140,0
2018-03-16,16:20:00,47.4,47.55,47.39,47.53,26181,0
2018-03-16,16:25:00,47.54,47.57,47.51,47.53,9970,0
2018-03-16,16:30:00,47.53,47.53,47.428,47.48,9831,0
2018-03-16,16:35:00,47.487,47.56,47.48,47.55,11643,0
2018-03-16,16:40:00,47.55,47.589,47.4844,47.4961,7368,0
2018-03-16,16:45:00,47.49,47.61,47.4256,47.58,12938,0
2018-03-16,16:50:00,47.6,47.63,47.48,47.55,10399,0
2018-03-16,16:55:00,47.55,47.63,47.52,47.58,19400,0
2018-03-16,17:00:00,47.55,47.5525,47.42,47.49,12900,0
2018-03-16,17:05:00,47.49,47.54,47.44,47.45,13392,0
2018-03-16,17:10:00,47.45,47.47,47.38,47.42,11461,0
2018-03-16,17:15:00,47.42,47.47,47.4,47.44,6388,0
2018-03-16,17:20:00,47.46,47.5,47.42,47.45,13200,0
2018-03-16,17:25:00,47.47,47.53,47.43,47.48,7390,0
2018-03-16,17:30:00,47.4907,47.53,47.47,47.5,6506,0
2018-03-16,17:35:00,47.51,47.53,47.45,47.53,10840,0
2018-03-16,17:40:00,47.53,47.58,47.49,47.57,8017,0
2018-03-16,17:45:00,47.57,47.59,47.54,47.54,5443,0
2018-03-16,17:50:00,47.56,47.59,47.55,47.58,9866,0
2018-03-16,17:55:00,47.59,47.62,47.555,47.59,12500,0
2018-03-16,18:00:00,47.6,47.67,47.57,47.65,18333,0
2018-03-16,18:05:00,47.6484,47.73,47.62,47.69,17732,0
2018-03-16,18:10:00,47.68,47.72,47.62,47.685,36273,0
2018-03-16,18:15:00,47.69,47.73,47.6709,47.7,9496,0
2018-03-16,18:20:00,47.69,47.72,47.64,47.69,12819,0
2018-03-16,18:25:00,47.69,47.83,47.69,47.79,19205,0
2018-03-16,18:30:00,47.81,47.86,47.7653,47.8586,15640,0
2018-03-16,18:35:00,47.87,47.91,47.8075,47.83,16200,0
2018-03-16,18:40:00,47.83,47.8889,47.83,47.8889,6593,0
2018-03-16,18:45:00,47.87,47.9186,47.83,47.83,12713,0
2018-03-16,18:50:00,47.82,47.84,47.65,47.65,6424,0
2018-03-16,18:55:00,47.65,47.73,47.6,47.69,18986,0
2018-03-16,19:00:00,47.71,47.75,47.68,47.71,7043,0
2018-03-16,19:05:00,47.71,47.74,47.69,47.7001,10272,0
2018-03-16,19:10:00,47.71,47.74,47.68,47.68,5408,0
2018-03-16,19:15:00,47.67,47.73,47.64,47.72,11010,0
2018-03-16,19:20:00,47.72,47.73,47.68,47.72,20413,0
2018-03-16,19:25:00,47.7,47.72,47.67,47.7,10772,0
2018-03-16,19:30:00,47.7,47.7,47.6156,47.6318,7332,0
