Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-12,14:35:00,12,12.07,12,12.07,4992,0
2018-03-12,14:40:00,12.07,12.21,12.0501,12.18,7000,0
2018-03-12,14:45:00,12.2,12.2,12.13,12.18,3305,0
2018-03-12,14:50:00,12.2,12.25,12.2,12.25,3200,0
2018-03-12,14:55:00,12.22,12.22,12.1701,12.1701,1508,0
2018-03-12,15:00:00,12.22,12.23,12.2,12.23,1900,0
2018-03-12,15:05:00,12.23,12.24,12.2,12.2375,4498,0
2018-03-12,15:10:00,12.25,12.3,12.25,12.2999,1491,0
2018-03-12,15:15:00,12.295,12.37,12.29,12.37,18215,0
2018-03-12,15:20:00,12.3601,12.4,12.36,12.4,3700,0
2018-03-12,15:25:00,12.4,12.4,12.38,12.38,1700,0
2018-03-12,15:30:00,12.38,12.4,12.23,12.32,5103,0
2018-03-12,15:35:00,12.29,12.31,12.27,12.289,700,0
2018-03-12,15:40:00,12.27,12.34,12.27,12.34,1300,0
2018-03-12,15:45:00,12.3101,12.35,12.24,12.25,2487,0
2018-03-12,15:50:00,12.2699,12.27,12.24,12.26,2000,0
2018-03-12,15:55:00,12.2599,12.2599,12.24,12.25,500,0
2018-03-12,16:00:00,12.24,12.24,12.19,12.19,1800,0
2018-03-12,16:05:00,12.169,12.2,12.169,12.2,2003,0
2018-03-12,16:10:00,12.1899,12.19,12.1501,12.18,900,0
2018-03-12,16:15:00,12.19,12.2,12.17,12.17,2400,0
2018-03-12,16:20:00,12.18,12.2,12.16,12.2,800,0
2018-03-12,16:25:00,12.18,12.18,12.11,12.13,2800,0
2018-03-12,16:30:00,12.12,12.15,12.1,12.1,800,0
2018-03-12,16:35:00,12.12,12.14,12.11,12.14,800,0
2018-03-12,16:40:00,12.18,12.18,12.16,12.18,6000,0
2018-03-12,16:45:00,12.19,12.205,12.14,12.18,3900,0
2018-03-12,16:50:00,12.18,12.18,12.03,12.03,2400,0
2018-03-12,16:55:00,12.05,12.09,11.97,12.09,16029,0
2018-03-12,17:00:00,12.1,12.1,12.09,12.1,2000,0
2018-03-12,17:05:00,12.1,12.1,12.0352,12.0352,2029,0
2018-03-12,17:10:00,12.08,12.09,12.08,12.09,300,0
2018-03-12,17:15:00,12.085,12.09,12.05,12.07,1400,0
2018-03-12,17:20:00,12.065,12.33,12.05,12.18,33372,0
2018-03-12,17:25:00,12.165,12.18,12.09,12.14,8075,0
2018-03-12,17:30:00,12.11,12.13,12.1,12.13,1100,0
2018-03-12,17:35:00,12.115,12.19,12.11,12.19,1600,0
2018-03-12,17:40:00,12.22,12.31,12.13,12.14,6800,0
2018-03-12,17:45:00,12.16,12.19,12.13,12.18,2200,0
2018-03-12,17:50:00,12.17,12.175,12.12,12.14,3640,0
2018-03-12,17:55:00,12.14,12.2,12.13,12.13,2400,0
2018-03-12,18:00:00,12.13,12.15,12.06,12.06,3901,0
2018-03-12,18:05:00,12.1,12.11,12.08,12.08,1100,0
2018-03-12,18:10:00,12.12,12.12,12.1,12.1,2100,0
2018-03-12,18:15:00,12.12,12.12,12.03,12.03,2200,0
2018-03-12,18:20:00,12.05,12.06,12.045,12.06,900,0
2018-03-12,18:25:00,12.05,12.1,12.05,12.1,4000,0
2018-03-12,18:30:00,12.1,12.1,12.08,12.08,1800,0
2018-03-12,18:35:00,12.07,12.08,12.03,12.05,1500,0
2018-03-12,18:40:00,12.0599,12.0599,12.03,12.05,1100,0
2018-03-12,18:45:00,12.05,12.09,12.05,12.09,3000,0
2018-03-12,18:50:00,12.09,12.1,12.085,12.1,600,0
2018-03-12,18:55:00,12.09,12.1,12.07,12.1,2200,0
2018-03-12,19:00:00,12.1,12.1,12.07,12.08,2065,0
2018-03-12,19:05:00,12.075,12.1,12.075,12.1,2200,0
2018-03-12,19:10:00,12.09,12.1,12.075,12.1,4800,0
2018-03-12,19:15:00,12.1,12.14,12.0999,12.14,4397,0
2018-03-12,19:20:00,12.14,12.15,12.135,12.14,600,0
2018-03-12,19:25:00,12.14,12.19,12.14,12.15,2200,0
2018-03-12,19:30:00,12.16,12.18,12.12,12.18,1500,0
2018-03-12,19:35:00,12.19,12.28,12.19,12.23,1600,0
2018-03-12,19:40:00,12.2,12.219,12.2,12.21,700,0
2018-03-12,19:45:00,12.21,12.28,12.2,12.205,2701,0
2018-03-12,19:50:00,12.2,12.23,12.17,12.22,2095,0
2018-03-12,19:55:00,12.18,12.2099,12.13,12.17,3080,0
2018-03-12,20:00:00,12.165,12.4,12.15,12.32,8643,0
2018-03-12,20:05:00,12.36,12.41,12.36,12.41,400,0
2018-03-12,20:10:00,12.41,12.42,12.31,12.36,3326,0
2018-03-12,20:15:00,12.38,12.38,12.34,12.34,800,0
2018-03-12,20:20:00,12.355,12.36,12.32,12.325,900,0
2018-03-12,20:25:00,12.33,12.33,12.25,12.25,3800,0
2018-03-12,20:30:00,12.27,12.27,12.25,12.265,600,0
2018-03-12,20:35:00,12.265,12.265,12.24,12.25,5189,0
2018-03-12,20:40:00,12.23,12.24,12.21,12.23,1094,0
2018-03-12,20:45:00,12.24,12.28,12.19,12.19,3194,0
2018-03-12,20:50:00,12.23,12.26,12.23,12.26,3305,0
2018-03-12,20:55:00,12.25,12.3,12.25,12.27,6250,0
2018-03-12,21:00:00,12.27,12.31,12.26,12.27,17267,0
2018-03-13,14:35:00,12.25,12.26,12.16,12.26,5890,0
2018-03-13,14:40:00,12.2,12.25,12.2,12.24,2342,0
2018-03-13,14:45:00,12.24,12.3,12.18,12.24,5305,0
2018-03-13,14:50:00,12.2,12.27,12.2,12.26,3200,0
2018-03-13,14:55:00,12.235,12.25,12.2139,12.22,1000,0
2018-03-13,15:00:00,12.25,12.25,12.16,12.17,3700,0
2018-03-13,15:05:00,12.18,12.18,12.03,12.06,8300,0
2018-03-13,15:10:00,12.03,12.1,12.02,12.1,1100,0
2018-03-13,15:15:00,12.1,12.15,12.0999,12.15,2300,0
2018-03-13,15:20:00,12.16,12.2499,12.16,12.205,1700,0
2018-03-13,15:25:00,12.19,12.19,12.11,12.14,3395,0
2018-03-13,15:30:00,12.15,12.15,12.15,12.15,500,0
2018-03-13,15:35:00,12.15,12.16,12.14,12.16,2602,0
2018-03-13,15:40:00,12.115,12.115,11.99,11.99,4203,0
2018-03-13,15:45:00,12.06,12.06,11.9899,12.01,5758,0
2018-03-13,15:50:00,12.025,12.07,12.01,12.01,1029,0
2018-03-13,15:55:00,12.0699,12.0699,12,12,1076,0
2018-03-13,16:00:00,12.03,12.03,11.96,11.96,2400,0
2018-03-13,16:05:00,11.95,11.95,11.91,11.9299,1200,0
2018-03-13,16:10:00,11.94,11.94,11.91,11.91,800,0
2018-03-13,16:15:00,11.93,11.93,11.91,11.91,600,0
2018-03-13,16:20:00,11.9,11.9,11.82,11.82,1500,0
2018-03-13,16:25:00,11.83,11.84,11.815,11.815,705,0
2018-03-13,16:30:00,11.82,11.8211,11.77,11.82,3462,0
2018-03-13,16:35:00,11.8299,11.84,11.8299,11.83,900,0
2018-03-13,16:40:00,11.86,11.869,11.83,11.85,7054,0
2018-03-13,16:45:00,11.85,11.86,11.85,11.86,300,0
2018-03-13,16:50:00,11.86,11.91,11.845,11.91,1000,0
2018-03-13,16:55:00,11.93,11.93,11.9,11.91,1510,0
2018-03-13,17:00:00,11.94,11.94,11.88,11.94,1800,0
2018-03-13,17:05:00,11.94,11.97,11.92,11.955,1200,0
2018-03-13,17:10:00,11.98,11.98,11.91,11.91,1350,0
2018-03-13,17:15:00,11.94,11.94,11.9,11.9,400,0
2018-03-13,17:20:00,11.9,11.93,11.9,11.92,800,0
2018-03-13,17:25:00,11.91,11.91,11.9,11.9,500,0
2018-03-13,17:30:00,11.9,11.91,11.9,11.91,300,0
2018-03-13,17:35:00,11.91,11.91,11.9,11.9,500,0
2018-03-13,17:40:00,11.91,11.94,11.91,11.94,1191,0
2018-03-13,17:45:00,11.94,11.94,11.9,11.9,700,0
2018-03-13,17:50:00,11.92,11.95,11.91,11.91,500,0
2018-03-13,17:55:00,11.9499,11.9499,11.91,11.94,400,0
2018-03-13,18:00:00,11.95,11.95,11.95,11.95,205,0
2018-03-13,18:05:00,11.93,11.96,11.93,11.96,200,0
2018-03-13,18:10:00,11.93,11.98,11.93,11.95,1600,0
