Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-14,14:35:00,48.709,49.179,48.549,48.759,5371,0
2018-03-14,14:40:00,48.894,48.959,48.439,48.439,3002,0
2018-03-14,14:45:00,48.349,48.569,48.229,48.569,7190,0
2018-03-14,14:50:00,48.559,48.559,48.249,48.249,2702,0
2018-03-14,14:55:00,48.229,48.649,48.229,48.589,3702,0
2018-03-14,15:00:00,48.594,48.704,48.588,48.704,1999,0
2018-03-14,15:05:00,48.699,48.784,48.63,48.699,5708,0
2018-03-14,15:10:00,48.714,48.714,48.449,48.449,3091,0
2018-03-14,15:15:00,48.474,48.474,48.229,48.229,1599,0
2018-03-14,15:20:00,48.289,48.289,48.179,48.259,7766,0
2018-03-14,15:25:00,48.289,48.289,48.139,48.174,4703,0
2018-03-14,15:30:00,48.209,48.249,48.1,48.1,3002,0
2018-03-14,15:35:00,48.08,48.129,47.99,47.99,3729,0
2018-03-14,15:40:00,48.035,48.149,47.98,48.05,6604,0
2018-03-14,15:45:00,48.07,48.179,48.067,48.179,3126,0
2018-03-14,15:50:00,48.207,48.207,48.09,48.159,7779,0
2018-03-14,15:55:00,48.169,48.379,48.169,48.279,5540,0
2018-03-14,16:00:00,48.289,48.299,48.179,48.199,6539,0
2018-03-14,16:05:00,48.239,48.239,48.129,48.129,4403,0
2018-03-14,16:10:00,48.129,48.249,48.129,48.239,6383,0
2018-03-14,16:15:00,48.179,48.179,48.06,48.06,2702,0
2018-03-14,16:20:00,48.11,48.149,48.09,48.1,4803,0
2018-03-14,16:25:00,48.07,48.07,47.88,47.99,11064,0
2018-03-14,16:30:00,48.045,48.045,47.89,47.89,3372,0
2018-03-14,16:35:00,47.89,47.99,47.82,47.82,4503,0
2018-03-14,16:40:00,47.82,47.91,47.795,47.91,8806,0
2018-03-14,16:45:00,47.93,47.93,47.67,47.67,6462,0
2018-03-14,16:50:00,47.71,47.77,47.66,47.77,6339,0
2018-03-14,16:55:00,47.78,47.89,47.76,47.88,2652,0
2018-03-14,17:00:00,47.859,47.86,47.79,47.825,3378,0
2018-03-14,17:05:00,47.85,47.87,47.75,47.82,7683,0
2018-03-14,17:10:00,47.85,47.85,47.755,47.785,6704,0
2018-03-14,17:15:00,47.79,47.87,47.76,47.85,7312,0
2018-03-14,17:20:00,47.86,47.93,47.86,47.88,5003,0
2018-03-14,17:25:00,47.86,47.865,47.78,47.78,6370,0
2018-03-14,17:30:00,47.77,47.91,47.76,47.85,12387,0
2018-03-14,17:35:00,47.88,47.94,47.88,47.925,2201,0
2018-03-14,17:40:00,47.91,47.95,47.9,47.91,6147,0
2018-03-14,17:45:00,47.91,47.97,47.89,47.915,11945,0
2018-03-14,17:50:00,47.93,48.06,47.93,47.99,21244,0
2018-03-14,17:55:00,47.97,48.065,47.97,48.06,8802,0
2018-03-14,18:00:00,48.08,48.139,48.06,48.09,3502,0
2018-03-14,18:05:00,48.09,48.09,47.99,48,4503,0
2018-03-14,18:10:00,47.99,48,47.93,47.93,6072,0
2018-03-14,18:15:00,47.98,47.99,47.95,47.97,1871,0
2018-03-14,18:20:00,47.98,48.03,47.96,48.01,4672,0
2018-03-14,18:25:00,48,48.199,47.97,48.199,5721,0
2018-03-14,18:30:00,48.229,48.319,48.219,48.319,1063,0
2018-03-14,18:35:00,48.304,48.449,48.304,48.379,3984,0
2018-03-14,18:40:00,48.409,48.418,48.369,48.405,2477,0
2018-03-14,18:45:00,48.439,48.484,48.419,48.444,1801,0
2018-03-14,18:50:00,48.449,48.449,48.389,48.429,2201,0
2018-03-14,18:55:00,48.429,48.549,48.429,48.549,1370,0
2018-03-14,19:00:00,48.509,48.534,48.489,48.489,2502,0
2018-03-14,19:05:00,48.499,48.519,48.359,48.379,3803,0
2018-03-14,19:10:00,48.359,48.369,48.289,48.289,1701,0
2018-03-14,19:15:00,48.289,48.289,48.239,48.239,1901,0
2018-03-14,19:20:00,48.239,48.239,48.169,48.199,5570,0
2018-03-14,19:25:00,48.219,48.279,48.219,48.279,2151,0
2018-03-14,19:30:00,48.279,48.449,48.269,48.449,8090,0
2018-03-14,19:35:00,48.449,48.524,48.449,48.489,2399,0
2018-03-14,19:40:00,48.489,48.489,48.339,48.359,5949,0
2018-03-14,19:45:00,48.379,48.449,48.379,48.399,2780,0
2018-03-14,19:50:00,48.389,48.459,48.389,48.459,2602,0
2018-03-14,19:55:00,48.459,48.549,48.459,48.519,5654,0
2018-03-14,20:00:00,48.499,48.589,48.499,48.569,6180,0
2018-03-14,20:05:00,48.569,48.599,48.499,48.559,6654,0
2018-03-14,20:10:00,48.549,48.569,48.499,48.519,5074,0
2018-03-14,20:15:00,48.518,48.539,48.459,48.479,7201,0
2018-03-14,20:20:00,48.489,48.499,48.439,48.469,6648,0
2018-03-14,20:25:00,48.469,48.469,48.419,48.439,6087,0
2018-03-14,20:30:00,48.429,48.439,48.349,48.349,8450,0
2018-03-14,20:35:00,48.369,48.379,48.289,48.289,8313,0
2018-03-14,20:40:00,48.289,48.314,48.244,48.279,11491,0
2018-03-14,20:45:00,48.279,48.299,48.169,48.189,9464,0
2018-03-14,20:50:00,48.209,48.289,48.209,48.249,14772,0
2018-03-14,20:55:00,48.239,48.329,48.179,48.309,21401,0
2018-03-14,21:00:00,48.309,48.329,48.289,48.309,58611,0
2018-03-15,14:35:00,48.319,48.594,48.228,48.594,16453,0
2018-03-15,14:40:00,48.539,48.539,48.424,48.424,400,0
2018-03-15,14:45:00,48.229,48.324,48.209,48.209,1261,0
2018-03-15,14:50:00,48.314,48.469,48.159,48.159,2505,0
2018-03-15,14:55:00,48.229,48.379,48.229,48.314,901,0
2018-03-15,15:00:00,48.314,48.314,48.229,48.254,1901,0
2018-03-15,15:05:00,48.219,48.219,48.1,48.209,2584,0
2018-03-15,15:10:00,48.149,48.219,48.139,48.169,4046,0
2018-03-15,15:15:00,48.164,48.229,48.11,48.11,5103,0
2018-03-15,15:20:00,48.09,48.09,47.99,48.025,1701,0
2018-03-15,15:25:00,48.02,48.02,47.77,47.77,11282,0
2018-03-15,15:30:00,47.83,47.935,47.81,47.93,6786,0
2018-03-15,15:35:00,47.92,47.92,47.74,47.755,1925,0
2018-03-15,15:40:00,47.72,47.92,47.65,47.92,9006,0
2018-03-15,15:45:00,47.9,48.1,47.89,48.08,4823,0
2018-03-15,15:50:00,48.09,48.139,48.07,48.07,901,0
2018-03-15,15:55:00,48.139,48.139,48.06,48.08,1600,0
2018-03-15,16:00:00,48.08,48.11,48.04,48.04,4307,0
2018-03-15,16:05:00,48.07,48.12,48.02,48.02,3224,0
2018-03-15,16:10:00,48.03,48.055,48.01,48.01,700,0
2018-03-15,16:15:00,48.04,48.04,47.95,48.02,8698,0
2018-03-15,16:20:00,48.025,48.159,48.025,48.07,4503,0
2018-03-15,16:25:00,48.07,48.125,48.07,48.11,2101,0
2018-03-15,16:30:00,48.129,48.244,48.129,48.209,2987,0
2018-03-15,16:35:00,48.189,48.209,48.149,48.209,2902,0
2018-03-15,16:40:00,48.219,48.219,48.179,48.209,2402,0
2018-03-15,16:45:00,48.179,48.229,48.179,48.229,2402,0
2018-03-15,16:50:00,48.229,48.269,48.219,48.229,1601,0
2018-03-15,16:55:00,48.229,48.254,48.07,48.07,3103,0
2018-03-15,17:00:00,48.07,48.11,48.01,48.02,5806,0
2018-03-15,17:05:00,48.02,48.02,47.9,47.92,4413,0
2018-03-15,17:10:00,47.925,47.925,47.88,47.88,720,0
2018-03-15,17:15:00,47.86,47.87,47.77,47.77,4553,0
2018-03-15,17:20:00,47.77,47.91,47.75,47.91,4154,0
2018-03-15,17:25:00,47.92,47.93,47.92,47.93,821,0
2018-03-15,17:30:00,47.88,47.9,47.85,47.87,2201,0
2018-03-15,17:35:00,47.84,47.91,47.78,47.89,3202,0
2018-03-15,17:40:00,47.88,47.92,47.87,47.87,1301,0
2018-03-15,17:45:00,47.87,47.87,47.848,47.848,1306,0
2018-03-15,17:50:00,47.82,47.86,47.76,47.81,5823,0
2018-03-15,17:55:00,47.825,47.87,47.81,47.81,1501,0
2018-03-15,18:00:00,47.81,47.88,47.81,47.831,2407,0
2018-03-15,18:05:00,47.82,47.88,47.81,47.84,4355,0
2018-03-15,18:10:00,47.82,47.82,47.75,47.75,901,0
2018-03-15,18:15:00,47.75,47.76,47.72,47.72,3603,0
2018-03-15,18:20:00,47.7,47.77,47.68,47.68,4369,0
2018-03-15,18:25:00,47.72,47.74,47.71,47.72,1506,0
2018-03-15,18:30:00,47.67,47.68,47.65,47.68,1501,0
2018-03-15,18:35:00,47.65,47.78,47.65,47.76,5103,0
2018-03-15,18:40:00,47.77,47.77,47.74,47.75,2442,0
2018-03-15,18:45:00,47.76,47.76,47.72,47.75,4927,0
2018-03-15,18:50:00,47.74,47.75,47.68,47.69,13886,0
2018-03-15,18:55:00,47.7,47.725,47.68,47.705,4642,0
2018-03-15,19:00:00,47.72,47.72,47.67,47.69,12458,0
2018-03-15,19:05:00,47.69,47.77,47.685,47.75,10405,0
2018-03-15,19:10:00,47.71,47.8,47.71,47.8,2648,0
2018-03-15,19:15:00,47.79,47.8,47.77,47.77,2127,0
2018-03-15,19:20:00,47.775,47.78,47.74,47.75,1901,0
2018-03-15,19:25:00,47.75,47.75,47.7,47.7,1827,0
2018-03-15,19:30:00,47.72,47.73,47.66,47.68,11239,0
2018-03-15,19:35:00,47.67,47.68,47.64,47.67,5678,0
2018-03-15,19:40:00,47.65,47.67,47.61,47.61,2602,0
2018-03-15,19:45:00,47.6,47.62,47.55,47.55,6387,0
2018-03-15,19:50:00,47.56,47.57,47.54,47.54,2307,0
2018-03-15,19:55:00,47.56,47.57,47.54,47.55,2902,0
2018-03-15,20:00:00,47.545,47.56,47.48,47.56,10722,0
2018-03-15,20:05:00,47.555,47.65,47.555,47.65,20162,0
2018-03-15,20:10:00,47.67,47.75,47.66,47.75,2802,0
2018-03-15,20:15:00,47.735,47.77,47.71,47.75,4041,0
2018-03-15,20:20:00,47.75,47.8,47.75,47.77,3919,0
2018-03-15,20:25:00,47.79,47.83,47.79,47.82,4915,0
2018-03-15,20:30:00,47.82,47.82,47.76,47.78,3397,0
2018-03-15,20:35:00,47.77,47.82,47.76,47.79,21141,0
2018-03-15,20:40:00,47.75,47.8,47.73,47.76,4145,0
2018-03-15,20:45:00,47.76,47.8,47.76,47.76,8720,0
2018-03-15,20:50:00,47.77,47.79,47.74,47.75,11393,0
2018-03-15,20:55:00,47.75,47.78,47.735,47.77,16966,0
2018-03-15,21:00:00,47.77,47.86,47.76,47.82,113731,0
2018-03-16,14:35:00,47.75,47.75,47.75,47.75,167061,0
2018-03-16,14:40:00,47.83,48.319,47.83,48.179,7663,0
2018-03-16,14:45:00,48.154,48.224,48.149,48.219,1701,0
2018-03-16,14:50:00,48.239,48.529,48.179,48.529,5571,0
2018-03-16,14:55:00,48.504,48.549,48.199,48.199,5891,0
2018-03-16,15:00:00,48.229,48.284,48.229,48.239,2415,0
2018-03-16,15:05:00,48.249,48.309,48.199,48.309,3707,0
2018-03-16,15:10:00,48.319,48.319,48.1,48.1,3426,0
2018-03-16,15:15:00,48.149,48.234,48.149,48.234,1310,0
2018-03-16,15:20:00,48.229,48.269,48.139,48.139,2271,0
2018-03-16,15:25:00,48.189,48.349,48.164,48.339,2734,0
2018-03-16,15:30:00,48.359,48.469,48.359,48.459,6749,0
2018-03-16,15:35:00,48.474,48.619,48.474,48.594,2402,0
2018-03-16,15:40:00,48.594,48.594,48.339,48.529,7809,0
2018-03-16,15:45:00,48.549,48.554,48.369,48.369,5966,0
2018-03-16,15:50:00,48.379,48.399,48.319,48.379,4205,0
2018-03-16,15:55:00,48.379,48.409,48.329,48.409,3212,0
2018-03-16,16:00:00,48.459,48.459,48.309,48.329,5421,0
