Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-14,14:35:00,119.1,119.81,119.1,119.81,6152,0
2018-03-14,14:40:00,119.8,119.8,118.64,118.64,9004,0
2018-03-14,14:45:00,118.7,119.11,118.65,119.06,5403,0
2018-03-14,14:50:00,118.87,118.89,118.56,118.78,7046,0
2018-03-14,14:55:00,118.68,119.52,118.68,119.21,14841,0
2018-03-14,15:00:00,119.26,119.34,119.07,119.07,4071,0
2018-03-14,15:05:00,118.99,119.05,118.83,119,7821,0
2018-03-14,15:10:00,118.97,119.03,118.82,118.84,6953,0
2018-03-14,15:15:00,118.82,118.82,118.32,118.44,11748,0
2018-03-14,15:20:00,118.46,118.68,118.33,118.34,8504,0
2018-03-14,15:25:00,118.42,118.71,118.42,118.69,5961,0
2018-03-14,15:30:00,118.75,118.94,118.63,118.94,7851,0
2018-03-14,15:35:00,118.89,118.89,118.24,118.32,24613,0
2018-03-14,15:40:00,118.22,118.48,118.06,118.48,13241,0
2018-03-14,15:45:00,118.43,118.43,118.24,118.35,5503,0
2018-03-14,15:50:00,118.32,118.46,118.15,118.38,12015,0
2018-03-14,15:55:00,118.34,118.62,118.29,118.61,3357,0
2018-03-14,16:00:00,118.65,118.69,118.5,118.68,2470,0
2018-03-14,16:05:00,118.73,118.73,118.36,118.36,6909,0
2018-03-14,16:10:00,118.44,118.54,118.3,118.43,16191,0
2018-03-14,16:15:00,118.48,118.48,118.25,118.29,5315,0
2018-03-14,16:20:00,118.23,118.28,118.15,118.15,1535,0
2018-03-14,16:25:00,118.21,118.21,117.69,117.74,18310,0
2018-03-14,16:30:00,117.69,117.78,117.44,117.44,4414,0
2018-03-14,16:35:00,117.53,117.61,117.34,117.61,8104,0
2018-03-14,16:40:00,117.66,117.73,117.54,117.54,5047,0
2018-03-14,16:45:00,117.57,117.76,117.5,117.5,5753,0
2018-03-14,16:50:00,117.48,117.71,117.48,117.67,1601,0
2018-03-14,16:55:00,117.73,117.73,117.55,117.55,3480,0
2018-03-14,17:00:00,117.46,117.66,117.42,117.58,4184,0
2018-03-14,17:05:00,117.61,117.62,117.49,117.52,2601,0
2018-03-14,17:10:00,117.52,117.58,117.41,117.44,5056,0
2018-03-14,17:15:00,117.47,117.51,117.26,117.3,3202,0
2018-03-14,17:20:00,117.43,117.43,117.21,117.4,2751,0
2018-03-14,17:25:00,117.34,117.38,117.21,117.34,3052,0
2018-03-14,17:30:00,117.39,117.59,117.39,117.59,3602,0
2018-03-14,17:35:00,117.66,117.74,117.59,117.74,4552,0
2018-03-14,17:40:00,117.72,117.84,117.68,117.7,2201,0
2018-03-14,17:45:00,117.72,117.81,117.67,117.67,2601,0
2018-03-14,17:50:00,117.69,117.92,117.69,117.75,3370,0
2018-03-14,17:55:00,117.72,117.95,117.71,117.89,2312,0
2018-03-14,18:00:00,117.83,117.83,117.65,117.81,1801,0
2018-03-14,18:05:00,117.78,117.78,117.6,117.74,2001,0
2018-03-14,18:10:00,117.6,117.68,117.48,117.48,2061,0
2018-03-14,18:15:00,117.51,117.58,117.45,117.45,1001,0
2018-03-14,18:20:00,117.46,117.49,117.41,117.42,2801,0
2018-03-14,18:25:00,117.43,117.46,117.35,117.46,1701,0
2018-03-14,18:30:00,117.43,117.55,117.43,117.46,1594,0
2018-03-14,18:35:00,117.54,117.77,117.54,117.71,4028,0
2018-03-14,18:40:00,117.7,117.86,117.68,117.81,3402,0
2018-03-14,18:45:00,117.87,117.97,117.8,117.8,2098,0
2018-03-14,18:50:00,117.85,117.94,117.83,117.88,7508,0
2018-03-14,18:55:00,117.94,118.19,117.94,118.01,4459,0
2018-03-14,19:00:00,117.95,118,117.9,117.95,3802,0
2018-03-14,19:05:00,117.94,117.94,117.77,117.81,3726,0
2018-03-14,19:10:00,117.79,117.84,117.66,117.71,8375,0
2018-03-14,19:15:00,117.71,117.85,117.7,117.82,11051,0
2018-03-14,19:20:00,117.82,117.89,117.73,117.85,4308,0
2018-03-14,19:25:00,117.8,117.88,117.54,117.69,2724,0
2018-03-14,19:30:00,117.6,117.67,117.42,117.43,2302,0
2018-03-14,19:35:00,117.38,117.47,117.21,117.21,4202,0
2018-03-14,19:40:00,117.25,117.26,117.02,117.03,2902,0
2018-03-14,19:45:00,117.04,117.16,116.98,116.99,3343,0
2018-03-14,19:50:00,117.03,117.29,116.94,117.26,6589,0
2018-03-14,19:55:00,117.25,117.43,117.16,117.34,8821,0
2018-03-14,20:00:00,117.34,117.56,117.3,117.49,4996,0
2018-03-14,20:05:00,117.5,117.5,117.31,117.33,8820,0
2018-03-14,20:10:00,117.4,117.4,117.32,117.32,3842,0
2018-03-14,20:15:00,117.27,117.32,117.15,117.15,5684,0
2018-03-14,20:20:00,117.19,117.38,117.19,117.23,7714,0
2018-03-14,20:25:00,117.17,117.35,117.17,117.34,5103,0
2018-03-14,20:30:00,117.32,117.32,117.09,117.09,7767,0
2018-03-14,20:35:00,117.14,117.14,116.95,116.97,12983,0
2018-03-14,20:40:00,117.01,117.08,116.8,116.8,11850,0
2018-03-14,20:45:00,116.79,116.79,116.49,116.55,16111,0
2018-03-14,20:50:00,116.54,116.77,116.51,116.69,17522,0
2018-03-14,20:55:00,116.69,116.95,116.63,116.93,28672,0
2018-03-14,21:00:00,116.93,117.1,116.91,117,70180,0
2018-03-15,14:35:00,117.48,118.27,117.48,117.83,12723,0
2018-03-15,14:40:00,118.23,118.23,117.61,117.61,3337,0
2018-03-15,14:45:00,117.62,117.71,117.29,117.63,20811,0
2018-03-15,14:50:00,117.58,117.58,116.99,117.07,24391,0
2018-03-15,14:55:00,117.05,117.39,116.99,117.11,31680,0
2018-03-15,15:00:00,117.09,117.24,116.41,116.57,28678,0
2018-03-15,15:05:00,116.45,116.62,116.22,116.59,7506,0
2018-03-15,15:10:00,116.64,116.94,116.64,116.67,7815,0
2018-03-15,15:15:00,116.8,117.01,116.56,116.56,6150,0
2018-03-15,15:20:00,116.57,116.62,116.31,116.37,15303,0
2018-03-15,15:25:00,116.42,116.53,116.23,116.4,13207,0
