Date,Time,Open,High,Low,Close,Volume,OpenInt
2018-03-14,14:35:00,32.99,33.12,32.94,32.94,4702,0
2018-03-14,14:40:00,33,33.1218,32.99,33.1218,1125,0
2018-03-14,14:45:00,33.08,33.09,32.96,32.97,3750,0
2018-03-14,14:50:00,32.99,33.12,32.94,33.105,8677,0
2018-03-14,14:55:00,33.105,33.1875,33.095,33.14,18382,0
2018-03-14,15:00:00,33.12,33.12,33,33,5057,0
2018-03-14,15:05:00,33.005,33.02,32.91,32.96,4200,0
2018-03-14,15:10:00,32.96,32.96,32.95,32.95,668,0
2018-03-14,15:15:00,32.93,32.995,32.93,32.995,800,0
2018-03-14,15:20:00,32.99,33,32.97,33,7485,0
2018-03-14,15:25:00,33.01,33.02,33,33,3601,0
2018-03-14,15:30:00,33.01,33.015,32.94,32.94,3400,0
2018-03-14,15:35:00,32.9,32.9,32.9,32.9,600,0
2018-03-14,15:40:00,32.88,32.98,32.88,32.95,3000,0
2018-03-14,15:45:00,32.94,33.01,32.91,33,6812,0
2018-03-14,15:50:00,33,33.015,32.9325,32.94,11855,0
2018-03-14,15:55:00,32.95,33.04,32.95,33,14310,0
2018-03-14,16:00:00,33.005,33.04,32.975,32.995,13730,0
2018-03-14,16:05:00,32.995,33.02,32.96,33.02,3400,0
2018-03-14,16:10:00,33.01,33.06,33,33.04,11127,0
2018-03-14,16:15:00,33.02,33.04,33.01,33.03,1320,0
2018-03-14,16:20:00,33.03,33.12,33.01,33.12,2400,0
2018-03-14,16:25:00,33.12,33.13,33.11,33.1275,6700,0
2018-03-14,16:30:00,33.12,33.12,33.1,33.115,21999,0
2018-03-14,16:35:00,33.12,33.13,33.04,33.04,5792,0
2018-03-14,16:40:00,33.02,33.06,33.02,33.06,450,0
2018-03-14,16:45:00,33.06,33.08,33.06,33.07,2950,0
2018-03-14,16:50:00,33.05,33.12,33.05,33.11,3300,0
2018-03-14,16:55:00,33.12,33.12,33.095,33.1,3366,0
2018-03-14,17:00:00,33.1,33.11,33.08,33.08,4085,0
2018-03-14,17:05:00,33.08,33.09,33.05,33.08,1100,0
2018-03-14,17:10:00,33.09,33.11,33.08,33.1,1300,0
2018-03-14,17:15:00,33.13,33.14,33.12,33.14,4153,0
2018-03-14,17:20:00,33.14,33.14,33.11,33.11,2998,0
2018-03-14,17:25:00,33.11,33.11,33.05,33.05,1500,0
2018-03-14,17:30:00,33.04,33.05,33.02,33.035,18900,0
2018-03-14,17:35:00,33.06,33.09,33.06,33.09,800,0
2018-03-14,17:40:00,33.1,33.14,33.1,33.12,23600,0
2018-03-14,17:45:00,33.12,33.13,33.11,33.13,4983,0
2018-03-14,17:50:00,33.14,33.17,33.11,33.11,4649,0
2018-03-14,17:55:00,33.08,33.1,33.05,33.05,800,0
2018-03-14,18:00:00,33.07,33.09,33.06,33.09,1748,0
2018-03-14,18:05:00,33.06,33.1,33.05,33.1,1450,0
2018-03-14,18:10:00,33.1,33.13,33.1,33.13,1162,0
2018-03-14,18:15:00,33.11,33.13,33.11,33.12,1338,0
2018-03-14,18:20:00,33.11,33.11,33.09,33.09,4400,0
2018-03-14,18:25:00,33.09,33.09,33.05,33.06,2391,0
2018-03-14,18:30:00,33.06,33.07,33.04,33.06,2615,0
2018-03-14,18:35:00,33.06,33.09,33.06,33.09,832,0
2018-03-14,18:40:00,33.09,33.09,33.09,33.09,200,0
2018-03-14,18:45:00,33.095,33.1,33.06,33.09,30061,0
2018-03-14,18:50:00,33.08,33.09,33.08,33.09,2700,0
2018-03-14,18:55:00,33.09,33.12,33.09,33.1,6372,0
2018-03-14,19:00:00,33.105,33.12,33.1,33.115,3110,0
2018-03-14,19:05:00,33.115,33.12,33.1,33.12,3300,0
2018-03-14,19:10:00,33.11,33.12,33.1,33.105,6453,0
