No.,Ticker,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Change from Open,Gap,Volume
1,A,1.3,1.46,-3.77%,-5.05%,-6.83%,-16.29%,8.39%,42.55,62.78,1.39%,0.50%,0.89%,2200075
2,AA,,1.49,-6.72%,-6.47%,-0.33%,-23.59%,61.22%,40.55,47.64,-0.89%,-1.55%,0.67%,2442052
3,AABA,1.97,1.57,3.91%,8.10%,10.85%,-1.96%,57.74%,71.55,78.98,2.36%,1.80%,0.54%,4515556
4,AAL,0.98,1.45,2.07%,-4.41%,-10.69%,-25.52%,8.24%,47.55,44,1.06%,-0.11%,1.17%,5470991
5,AAN,0.06,1.23,-1.60%,-8.43%,-4.59%,-19.81%,16.39%,35.24,39.91,0.33%,-0.18%,0.50%,752992
6,AAOI,2.67,2.25,31.31%,46.90%,11.58%,-56.46%,99.73%,78.52,45.02,-3.74%,-3.95%,0.21%,3605835
7,AAXJ,,0.94,0.61%,0.38%,1.04%,-7.96%,15.20%,53.07,76.87,1.14%,0.68%,0.46%,502904
8,AAXN,0.87,2.43,16.45%,38.07%,109.31%,0.55%,217.45%,79.85,65.3,2.54%,2.08%,0.46%,1110163
9,ABBV,1.61,2.67,-4.70%,0.08%,0.61%,-22.10%,48.29%,43.12,98.05,-0.90%,0.12%,-1.02%,14832723
10,ABC,1.01,2.47,-1.97%,-4.16%,-4.63%,-21.58%,15.91%,44.27,83.34,1.46%,0.82%,0.63%,1020497
11,ABEO,1.25,1.41,-5.64%,-0.60%,11.06%,-23.08%,284.62%,48.74,17.5,-1.13%,-2.51%,1.41%,944105
12,ABM,0.8,0.53,-4.58%,-9.31%,-24.60%,-36.86%,0.81%,22.9,28.49,0.11%,-0.52%,0.63%,695009
13,ABT,1.51,1.06,2.55%,4.19%,9.26%,-3.39%,37.26%,58.74,62.41,1.43%,0.73%,0.70%,3588203
14,ACAD,3.38,0.91,2.09%,-4.01%,-35.16%,-55.49%,26.40%,49.67,18.34,1.33%,1.16%,0.17%,1475845
15,ACC,0.22,0.81,5.59%,6.39%,-0.25%,-16.77%,18.77%,67.16,41,2.24%,2.24%,0.00%,1769601
16,ACGL,0.62,1.34,1.10%,-1.55%,-11.71%,-22.19%,3.51%,48.78,79.83,1.76%,0.97%,0.78%,782516
17,ACHC,0.66,1.05,-3.81%,0.06%,3.70%,-26.70%,47.96%,41.37,39.83,-0.90%,-1.41%,0.52%,847938
18,ACIA,,1.53,1.87%,-0.92%,-16.62%,-34.55%,32.65%,50.82,32.79,1.39%,0.95%,0.43%,597674
19,ACIW,1.16,0.51,3.64%,2.13%,4.49%,-7.48%,20.61%,62.42,24.4,1.04%,0.08%,0.95%,712889
20,ACM,1.65,0.73,-1.02%,-4.59%,-7.10%,-16.92%,9.95%,43.53,33.15,0.45%,-0.36%,0.82%,650024
21,ACWI,,0.69,0.18%,1.10%,2.21%,-5.75%,12.43%,53.49,73.08,1.04%,0.36%,0.68%,2917188
22,ADI,1.25,1.85,5.06%,7.43%,10.65%,0.01%,29.35%,69,98.4,1.26%,0.74%,0.51%,2300415
23,ADM,1.02,0.69,-1.08%,-1.17%,3.34%,-5.25%,13.55%,43,43.82,0.23%,-0.05%,0.27%,4236401
24,AEE,0.3,0.91,1.10%,2.03%,-0.42%,-10.45%,11.99%,53.78,58.11,-1.82%,-1.63%,-0.20%,2214737
25,AEL,2.46,1.03,15.92%,17.95%,17.81%,-0.58%,55.82%,76.13,35.87,1.21%,-0.75%,1.98%,545040
26,AEM,-0.35,0.86,2.12%,3.29%,0.31%,-13.77%,19.73%,58.97,44.72,-0.51%,-0.11%,-0.40%,1297877
27,AEO,1.02,0.72,4.18%,6.83%,31.56%,-4.00%,120.53%,58.44,22.56,1.62%,-1.23%,2.88%,4516477
28,AEP,0.18,0.97,-0.47%,-1.74%,-5.61%,-14.59%,5.31%,44.94,66.68,-1.87%,-1.49%,-0.38%,2789715
29,AER,1.8,0.76,-0.15%,3.87%,6.24%,-2.04%,24.66%,57.09,55.11,-0.36%,-0.92%,0.56%,1014055
30,AFL,0.93,0.63,0.54%,1.37%,4.72%,-1.71%,21.80%,53.27,45.4,0.75%,-0.22%,0.98%,2452987
31,AGCO,0.83,1.6,-0.56%,-0.28%,-6.62%,-15.29%,10.70%,47.2,64.34,1.16%,0.48%,0.68%,572242
32,AGO,1.25,0.7,0.80%,-0.70%,-2.38%,-21.38%,9.04%,49.58,35.95,1.30%,0.36%,0.93%,567589
33,AIG,1.21,1.06,-0.30%,-1.48%,-9.66%,-20.82%,7.50%,46.48,53.29,0.95%,-0.22%,1.17%,4448983
34,AIV,0.42,0.65,2.25%,1.92%,-3.05%,-12.14%,8.11%,59.19,41.05,0.54%,0.51%,0.02%,1011544
35,AIZ,0.53,2.23,2.23%,2.64%,-0.48%,-12.08%,11.52%,53.55,94.06,0.76%,-0.49%,1.25%,685239
36,AJG,1.12,1.09,-2.35%,-3.22%,1.56%,-8.99%,17.88%,39.1,66.23,-0.08%,-1.05%,0.98%,1100290
37,AJRD,1.03,0.76,4.31%,2.63%,-1.62%,-19.59%,44.52%,57.17,29.15,0.73%,0.10%,0.62%,589201
38,AKAM,0.63,1.49,0.64%,4.12%,23.27%,-2.91%,70.21%,55.99,76,0.82%,0.40%,0.42%,2815816
39,AKAO,0.96,0.7,-1.40%,-3.28%,-6.72%,-51.94%,23.30%,46.95,12.12,-2.26%,-2.26%,0.00%,812735
40,AKR,0.49,0.54,4.67%,5.99%,-3.40%,-16.55%,19.78%,66.12,25.56,-0.74%,2.49%,-3.15%,718474
41,AKRX,1.71,0.69,1.62%,-13.14%,-49.57%,-59.38%,28.22%,41.79,13.79,-1.29%,-1.22%,-0.07%,2468407
42,ALB,1.64,2.52,-5.16%,-2.42%,-19.68%,-34.99%,8.66%,40.94,94.26,0.85%,0.81%,0.03%,1242803
43,ALDR,2.59,0.8,22.25%,31.36%,44.66%,-8.50%,112.79%,81.82,18.3,4.87%,4.27%,0.57%,1756265
44,ALK,0.76,1.52,1.17%,-1.76%,-11.06%,-36.44%,5.79%,51.09,60.86,0.08%,-0.23%,0.31%,1618905
45,ALL,0.93,1.35,-1.47%,-2.14%,-2.50%,-10.91%,9.69%,38.66,93.86,0.41%,-0.41%,0.82%,1712943
46,ALLE,1.06,1.75,0.65%,-3.83%,-5.70%,-13.27%,5.47%,45.68,77.89,1.91%,1.02%,0.88%,725644
47,ALLY,1.33,0.63,-2.42%,-3.18%,-2.30%,-16.81%,40.85%,42.3,26.03,1.48%,0.27%,1.21%,3923775
48,ALSN,1.22,1.02,-1.34%,2.95%,4.35%,-8.38%,27.12%,50.24,41.86,1.33%,0.70%,0.63%,1430930
49,AMAT,1.62,1.53,-0.34%,-1.89%,-1.27%,-16.28%,28.07%,49.81,52.24,2.88%,1.83%,1.02%,11286761
